openalex_id,via,title,year,doi,doc_type,methodology,geography,thesis,theme_1_score,theme_1_justification,theme_2_score,theme_2_justification,theme_3_score,theme_3_justification,theme_4_score,theme_4_justification,dual_use_explicit,dual_use_direction,dual_use_structural,key_quotes,policy_relevance,text_truncated,notes
https://openalex.org/W2014717813,Graham 2006:forward,Algorithmic War: Everyday Geographies of the War on Terror,2009,10.1111/j.1467-8330.2008.00655.x,journal_article,theoretical,global,"Algorithmic security technologies in the war on terror blur military, commercial, and civil spheres, producing violent geographies through pre-emptive calculation and targeting in everyday life.",3,"The paper's central argument is that algorithmic techniques (e.g., association rules, RFID) developed for commercial retail (Marks & Spencer, Wal-Mart) are directly transferred to homeland security and military applications (e.g., US VISIT, e-borders, Raytheon contracts). It explicitly discusses dual-use, technology transfer, and the 'stitching together' of commercial, security, and military spheres. The paper traces the movement of algorithms from supermarket checkout to subway surveillance and border control, and highlights the near-zero marginal cost of software reproduction and frictionless transferability.",2,"The paper discusses algorithmic opacity and the epistemic authority of data-driven systems, arguing that algorithmic calculations 'conceal political difficulty, even discrimination and violence, within an apparently neutral and glossy techno-science.' It addresses how algorithms produce a 'screened geography of suspicion' and bypass democratic deliberation by rendering security decisions as technical and scientific. However, this is not the paper's primary focus; it is a supporting argument within the broader dual-use analysis.",2,"The paper conceptualizes the city as a programmable, data-driven system through examples of subway surveillance, RFID tracking, and algorithmic profiling of urban populations. It discusses continuous modulation of movement and behavior via smart travel cards, sensors, and public vigilance campaigns. It engages with the 'smart city' as a mode of governance, but this is not the central argument; it is part of the broader analysis of algorithmic war.",1,"The paper discusses the weaponisation of civilian infrastructure and urban data for targeting, particularly through RFID and algorithmic association rules. It mentions the 'violent geographies' concealed in algorithmic calculation and the targeting of mobile bodies in everyday spaces. However, it does not substantively engage with spatial destruction, domicide, or home unmaking. The focus is on pre-emptive security rather than direct spatial violence.",yes,both,yes,"It is not that algorithmic techniques have their origins strictly in the military domain (though, as we will see, many of them do), nor that society is strictly undergoing renewed militarization, but that security practices oscillate back and forth across different domains. || The promise that algorithmic calculations held out to the commercial authorities of the 1990s—to enable surveillance from a distance, to make market judgements in advance, to generate patterns of normal and atypical consumer behaviour—is now being re-made in the context of state security desires. || The association rules of the algorithm claim precisely to identify associations, to connect together here and there, to link that location of suspicion and this embodied risk, to suture together the forces of war in one place and the possibility of threat in the spaces of everyday life.","The paper critiques the privatization of security and the transfer of commercial data-mining techniques to state security, suggesting that these practices conceal violence and discrimination. It implies a need for greater transparency and democratic oversight of algorithmic security systems, but does not offer specific policy recommendations.",False,Full text available and complete.
https://openalex.org/W2359831387,Graham 2006:forward,Unplug and Play: Manufacturing Collapse in Gaza,2011,,journal_article,case_study,"Gaza Strip, Palestine/Israel","Infrastructural networks in post-disengagement Gaza function as geopolitical sites of spatial control and biopolitical tools to regulate and suppress life, manufacturing a regulated humanitarian collapse.",2,"The paper substantively engages with dual-use/transfer of civilian infrastructure for military/security purposes. It discusses how water, electricity, fuel, and sewage networks—normally civilian life-support systems—are weaponized as tools of collective punishment and spatial control. It explicitly addresses the repurposing of these systems for military/security functions (e.g., 'infrastructural oxygen' doctrine, cutting electricity/fuel as a weapon). However, it does not focus on the economic properties of software/data or frictionless transferability between civilian and military domains; the dual-use is about physical infrastructure, not information goods.",1,"The paper tangentially addresses epistemic authority and black-boxing. It discusses how Israel's control over infrastructure data and supply (e.g., 'humanitarian minimum' calculated by military experts) bypasses democratic deliberation and reduces Palestinian needs to abstract units. It mentions the 'civil administration' and 'joint cooperation committees' that regulate infrastructure flows opaquely. However, algorithmic opacity, surveillance as knowledge production, or machine learning bias are not central.",2,"The paper substantively engages with the city as a programmable, data-driven system of modulation. It describes how Israel uses infrastructural networks to continuously modulate urban life in Gaza—turning electricity, fuel, and water on/off to regulate population behavior. It discusses the shift from visible ground occupation to 'remote control' via airpower and infrastructure manipulation. The concept of 'infrastructural violence' and the 'elastic humanitarian crisis' reflect continuous modulation. However, it does not explicitly use Deleuzian or De Landa frameworks.",3,"Spatial collapse and home unmaking are central to the paper's argument. It explicitly discusses the deliberate destruction of Gaza's power plant, water mains, sewage systems, and other infrastructure as a form of urbicide and collective punishment. It addresses home unmaking through forced displacement, destruction of living spaces, and the weaponization of civilian infrastructure. It engages with vertical sovereignty (airpower, drones, sonic booms) and cites Weizman on the geometry of occupation. The concept of 'infrastructural violence' directly links infrastructure destruction to spatial cleansing and the manufacturing of humanitarian collapse.",yes,civil_to_military,no,"Infrastructure networks are thus the life support systems of modern societies, source of their vitality and yet source of its own fragility and manipulation. || The destruction of the power plant added to, and enhanced, what already was a chronic dependency on a legacy of colonial infrastructure used to manipulate and regulate the life of the colonized. || The concept of infrastructural violence provides a particularly useful lens through which to study the systematic politics of spatial reengineering that undoes the ordinary geographies of everyday life by generating and unfolding a hostile topography of infrastructure networks for purposes of population management and repression as well as territorial segregation and control.","The paper argues that targeting civilian infrastructure constitutes war crimes and collective punishment under international law, and calls for expanding the referents of political violence to include the material fabric of urban life. It highlights the role of human rights organizations in challenging these practices.",False,"The paper is a case study of Gaza post-2005 disengagement, focusing on infrastructural violence. It does not address software/data dual-use but rather physical infrastructure dual-use. The text is complete."
https://openalex.org/W2157402500,Graham 2006:forward,"Constructing resilience through security and surveillance: The politics, practices and tensions of security-driven resilience",2015,10.1177/0967010614557884,journal_article,empirical_qualitative,"UK (Birmingham, London)","Security-driven resilience, drawing on surveillance and military technologies, generates tensions between state security and community cohesion that may subvert resilience's founding principles.",2,Substantive engagement with dual-use technology transfer: ANPR cameras 'developed from former military technology' (p.95); military technologies 'increasingly utilized in civic spaces' (p.87-88); cameras redeployed for Olympic security (p.99-100). No explicit use of term 'dual-use' but concept is central to the case study.,1,"Tangential mention of opacity: 'active concealment of hi-tech cameras' (p.97-98), 'the opacity of many security-driven resilience initiatives' (p.101). Discusses lack of transparency in Project Champion but does not engage deeply with epistemic authority or algorithmic black-boxing.",2,"Substantive engagement with the city as a programmable system: 'software-driven systems facilitating automated production, ordering and control of space and everyday life' (p.91); anticipatory turn in social control; continuous modulation through surveillance. Discusses pre-emptive and preventative logic of security-driven resilience (p.92-93).",1,"Tangential engagement with spatial control: encirclement of Muslim neighbourhoods with cameras (p.95-96); 'labelling of dangerous populations' (p.96). Does not discuss spatial destruction, domicide, or vertical sovereignty explicitly.",yes,military_to_civil,no,"military technologies have been increasingly utilized in civic spaces, posing a series of questions about social control, citizenship and the ability to construct community resilience in local areas amidst state attempts to label the same areas as 'dangerous'. || Of the high-specification surveillance cameras in 'Project Champion', 150 came equipped with Automated Number Plate Recognition (ANPR) capability, developed from former military technology that could automatically monitor all vehicles entering and exiting the areas; whilst a further 72 covert cameras were camouflaged within street signs, furniture and other features of the urban landscape. || the opacity of many security-driven resilience initiatives, the politicized nature of hierarchical relationships within resilience practice, and the specific politics that such arrangements produce mean such aspirations are not always easy to realize.",Highlights need for transparent governance and community engagement in security-driven resilience; warns against co-opting local safety agendas for national security; describes erosion of police-community trust as a key consequence.,False,"Case study of Project Champion in Birmingham, UK. The paper is a journal article with empirical qualitative methods (interviews, document analysis) and policy analysis. The dual-use concept is discussed through technology transfer (military to civilian) but not explicitly named."
https://openalex.org/W2323921964,Graham 2006:forward,Postmortem city: Towards an urban geopolitics,2004,10.1080/1360481042000242148,journal_article,theoretical,global,"The paper argues that warfare and political violence are intimately woven into the fabric of cities and urban planning, and calls for an urban geopolitics to confront the militarisation of urban space.",0,"Not addressed. The paper does not discuss the economic/material properties of software/data that enable dual-use fluidity. It mentions 'dual-use' once in the context of electrical infrastructure, not information goods.",0,"Not addressed. The paper does not engage with algorithmic opacity, black-boxing, or the epistemic authority of data-driven systems. Surveillance is discussed but not in terms of knowledge-producing functions characteristic of algorithmic governance.",0,"Not addressed. The paper does not conceptualise the city as a programmable, algorithmic, or data-driven system, nor does it discuss modulation of populations through data or smart city governance.",3,"Central argument. The paper extensively discusses spatial destruction, urbicide, place annihilation, home demolitions, targeting of civilian infrastructure, urban warfare, and the city as battlespace. It explicitly uses terms like 'urbicide' and 'place annihilation' and provides numerous historical and contemporary examples.",tangential,both,no,"War and the city have intimately shaped each other throughout urban and military history. ""There is ... a direct reciprocity between war and cities"", writes the geographer Ken Hewitt. ""The latter are the more thoroughgoing constructs of collective life, containing the definitive human places. War is the most thorough-going or consciously prosecuted occasion of collective violence that destroys places."" (Hewitt, 1983, p. 258). || Even a leading US Air Force planner had to concede that this direct targeting of so-called 'dual-use' (military/civilian) electrical infrastructure in 1991 ""shut down water purification and sewage treatment plants. As a result, epidemics of gastroenteritis, cholera, and typhoid broke out, leading to as many as 100,000 civilian deaths and the doubling of infant mortality rates"" (Rizer, 2001). || Urban terrorism and state counter-terror tend to be umbilically connected. In the end, they tend, tragically, to be self-perpetuating in an endless circle of intensifying atrocity.",Calls for urban social science to confront militarisation of urban space and develop an urban geopolitics. Advocates for nurturing multicultural urban spaces as a normative response to fundamentalisms.,False,"Full article, not truncated. Extensive historical and case-study support for theme 4."
https://openalex.org/W2171371442,Graham 2006:forward,"From urban catastrophe to 'model' city? Politics, security and development in post-conflict Kigali",2013,,journal_article,empirical_qualitative,Rwanda (Kigali),"Kigali's transformation from post-genocide catastrophe to a 'model' city was achieved through political consolidation, donor support, and securitisation strategies that tightly control urban space, but this may suppress underlying conflicts.",0,Not addressed. The paper does not discuss dual-use properties of software/data or technology transfer between civilian and military domains.,1,"Tangential mention. The paper discusses surveillance and state reach (e.g., community policing, umudugudu system, taxi-moto surveillance) as knowledge-producing, but does not engage with algorithmic opacity, black-boxing, or epistemic authority of data-driven systems.",2,"Substantive engagement. The paper discusses the city as a programmed space through the Master Plan, urban reorganisation, cooperatives, performance contracts, and continuous control mechanisms (e.g., 'engineering secure urbanisation'). It conceptualises Kigali as a tightly controlled urban system.",2,"Substantive engagement. The paper discusses expropriations, displacement of informal settlements, forced relocations due to the Master Plan, and the elimination of poor people from the city. It addresses spatial destruction and home unmaking, but not urban warfare or vertical sovereignty.",no,neither,no,"The government’s overriding concern with national security issues, combined with its need for legitimacy, has led to sustained efforts to create a city that is tightly controlled through a range of strategies that project it as a ‘model’ space, both domestically and internationally. || The emphasis on order and urban reorganisation to some degree parallels the rural social engineering discussed elsewhere. || The expropriations in the name of the Master Plan discussed earlier have proved highly controversial, and the relative absence of social violence in the city should not obscure the use of actual or threatened violence by the state in relation to these kinds of state-society interactions.",The paper implies that post-conflict urban governance must balance security with inclusive civic engagement to avoid suppressing conflicts that may resurface. It highlights risks of elite-driven planning that excludes the poor.,False,"Full text available; no truncation. The paper is a case study of Kigali, Rwanda, focusing on political and security dynamics rather than technology or data systems."
https://openalex.org/W1913938051,Graham 2006:forward,When Life Itself is War: On the Urbanization of Military and Security Doctrine,2012,10.1111/j.1468-2427.2011.01026.x,journal_article,theoretical,global,"New ideologies of permanent war are radically intensifying the militarization of urban life through the 'new military urbanism', which normalizes the targeting of everyday urban sites, circulations, and populations.",2,"Substantive engagement with dual-use technology transfer between civilian and military domains. The paper discusses how control technologies with military origins (e.g., GPS, internet, data mining) are fundamental to urban life and are re-appropriated by the military. It explicitly addresses the blurring of civilian and military applications: 'The new military urbanism's second foundation is the fusing and blurring of civilian and military applications of control, surveillance, communications, simulation and targeting technologies.' Also notes that 'commercial modifications of such technologies are in turn being widely re-appropriated by the military.'",2,"Substantive engagement with algorithmic opacity and epistemic authority. Discusses how computer algorithms define deviance and threat in advance of civil or criminal offences: 'The proliferation of anticipatory profiling and targeting systems... increasingly uses computer algorithms to define deviance, and hence threat, from the mass circulations and populations of the city, in advance of civil or criminal offences being proven.' Also addresses the shift from social identification to machinic 'Id-ing': 'the social identification of people within civilian law enforcement is complemented or even replaced by the machinic seeing of ""targets"".'",3,"Central argument. The paper extensively conceptualizes the city as a programmable, algorithmic system and discusses continuous modulation through data. It explicitly engages with Deleuze's 'societies of control': 'French philosopher Gilles Deleuze (1992) famously termed contemporary societies ""societies of control"". Because networked electronic control and surveillance devices are now distributed through society, Deleuze argued that everyday urban life is now modulated by a sense of ever-present tracking, scrutiny and electronic calculation.' The paper also discusses 'smart city' as a mode of governance and automated decision-making.",3,"Central argument. The paper extensively discusses spatial destruction, urbicide, and the weaponisation of civilian infrastructure. It defines urbicide as 'political violence intentionally designed to erase or ""kill"" cities' and provides multiple examples (e.g., Israeli bulldozing in Palestine, Fallujah, forced evictions). It engages with vertical sovereignty through drones and satellite surveillance: 'high-tech targeting practices employing unmanned drones and organized satellite surveillance programmes... are also starting to colonize the domestic urban spaces of the nation.' Also discusses Forensic Architecture and Weizman's work on lethal theory.",yes,both,yes,"The new military urbanism's second foundation is the fusing and blurring of civilian and military applications of control, surveillance, communications, simulation and targeting technologies. This is not surprising given that control technologies with military origins are now fundamental bases for virtually all acts of digitally mediated urban life and consumption in advanced industrial cities, and that commercial modifications of such technologies are in turn being widely re-appropriated by the military. || French philosopher Gilles Deleuze (1992) famously termed contemporary societies 'societies of control'. Because networked electronic control and surveillance devices are now distributed through society, Deleuze argued that everyday urban life is now modulated by a sense of ever-present tracking, scrutiny and electronic calculation. || Defined as political violence intentionally designed to erase or 'kill' cities, urbicidal violence can involve the ethno-nationalist targeting of spaces of cosmopolitan mixing (as in the Balkans in the 1990s); the systematic devastation of the means of modern urban living (as with the de-electrification of Iraq in 1991, the 2006–08 siege of Gaza or the 2006 attack on Lebanon); or the simple erasure of those demonized people and places that are cast out as unmodern, barbarian, unclean, pathological or subhuman.","Calls for critical urban research to expose and confront the normalization of the new military urbanism, and to explore how social and political mobilizations can obstruct and challenge these norms. Suggests need for comparative work on how securitization is refracted through different national and urban contexts.",False,"Full text available. The paper is a theoretical and polemical synthesis, not an empirical study."
https://openalex.org/W1963997592,Graham 2006:forward,"Network-Centric Violence, Critical Infrastructure and the Urbanization of Security",2009,10.1177/0967010609342879,journal_article,theoretical,global,"Contemporary urban warfare targets critical infrastructure because it is constitutive of metropolitan life, revealing a reciprocal dynamic of urban securitization.",2,"The paper substantively engages with dual-use through the concept of 'dual use facilities' in the context of Iraqi infrastructure sanctions (p. 406-407), and discusses the repurposing of civilian infrastructure as military targets. It addresses technology transfer between civilian and military domains via the concept of 'network-centric' warfare and the targeting of urban networks.",1,"Tangential mention: the paper discusses surveillance and securitization of urban networks (p. 411) but does not deeply engage with epistemic authority, black-boxing, or algorithmic opacity. Surveillance is mentioned as a response to vulnerability, not as a knowledge-producing function.",2,"Substantive engagement: the paper conceptualizes the city as a networked, programmable system (p. 409-411), discusses 'network-centric' warfare and 'effects-based' operations, and addresses the shift from planar to nodal battlespace. It engages with 'smart city' governance indirectly through the concept of critical infrastructure as constitutive of urban life.",2,"Substantive engagement: the paper discusses spatial destruction through targeting of critical infrastructure (e.g., Baghdad, New York, London), addresses urbicide and the weaponisation of civilian infrastructure, and engages with the concept of 'vertical geopolitics' (p. 410). It does not explicitly discuss home unmaking or Forensic Architecture.",yes,civil_to_military,tangential,"The sanctions regime did not target infrastructure per se, it prevented the reconstruction, repair or maintenance of a number of infrastructural sites on the basis that they comprised 'dual use' facilities of potential importance to the Iraqi military. || Targeting critical infrastructure in order to disrupt urbanity thus comprises a historically specific form of violence. || Network-centric warfare was conceived in the post-Cold War period as an element of the so-called Revolution in Military Affairs (RMA). It refers to a doctrine based on domination of the information spectrum supported by the use of precision munitions, mobile forces, and accurate real-time modelling of enemy forces and infrastructures.","The paper argues that securitization of urban infrastructure (hardening, surveillance) is insufficient because it protects material substrate but not networked interconnectivity, and calls for a security studies that appreciates the complex ecology of metropolitan subjectivity.",False,Full text available and complete.
https://openalex.org/W2916778134,Graham 2006:forward,"EXPERIENCES OF URBAN MILITARISM: Spatial Stigma, Ruins and Everyday Life",2019,10.1111/1468-2427.12797,journal_article,empirical_qualitative,"Lydda-Lod, Israel","Examines how poor Palestinians in Lydda experience spatial stigma and militarism through an uneasy combination of denigration, care, and historical awareness.",0,"Not addressed. The paper does not discuss information goods, dual-use, or technology transfer.",0,"Not addressed. The paper discusses surveillance but not algorithmic opacity, epistemic authority, or black-boxing.",0,Not addressed. The paper does not conceptualize the city as a programmable system or discuss modulation or smart city governance.,3,"Central argument. The paper extensively discusses spatial destruction, displacement, ruins, urbicide, and the weaponisation of urban space through military and security agencies. Engages with Graham, Coward, and the urbicide literature.",no,neither,no,"Urban geopolitics has compellingly connected cities and broader geopolitical processes, identified cities as key targets of military interventions, and conceptualized the destruction of buildings as a distinct form of political violence. || The ruins and empty spaces of the old Arab city are some of the visible material traces of the mass displacement of Palestinians in July 1948, when the Israeli army expelled all the 20,000 Palestinian residents of the city... || By studying the interplay between interpretive and affective responses to a built environment that has been targeted and 'blemished' by militarism, this article resonates with Mona Harb's recent call to 'diversify urban studies' perspectives on the city at war'.",None. The paper calls for a new perspective on urban militarism focused on everyday life but does not offer specific policy recommendations.,False,Full text provided; no truncation issues.
https://openalex.org/W2116991136,Graham 2006:forward,Policing Development: Urban Renewal as Neo-liberal Security Strategy,2010,10.1177/0042098009349772,journal_article,empirical_qualitative,"Cape Town, South Africa","Post-apartheid policing in Cape Town townships, driven by neoliberal security ideology, reproduces aggressive apartheid-era policing, securitizes urban renewal, and undermines development by containing rather than addressing root causes of crime.",0,"Not addressed. The paper does not discuss information goods, dual-use, or technology transfer between civilian and military domains.",0,"Not addressed. The paper does not engage with algorithmic opacity, black-boxing, epistemic authority of data, or surveillance as knowledge production.",1,"Tangential mention. The paper discusses continuous modulation of urban populations through high-density policing operations (cordon and search, roadblocks) and order maintenance, but does not conceptualize the city as a programmable algorithmic system or engage with smart city governance.",2,"Substantive engagement. The paper discusses spatial fragmentation, militarized policing (joint military-police operations), containment of poor communities, and the reproduction of apartheid spatial divisions. It references Graham (2004) on new military urbanism and describes police raids that assault residents and destroy homes, but does not explicitly address vertical sovereignty or Forensic Architecture.",no,neither,no,"current approaches to urban renewal risk exacerbating social instability by reproducing aggressive forms of policing associated with the apartheid era. || Policing on the Cape Flats today is perhaps best understood not an example of bad policing or misdirected policing but, rather, from the point of view of the neo-liberal city, necessary policing. || The result of conflating crime reduction with development has been a widening of the police net, in which millions of poor South Africans are caught up every year, with insufficient change in what happens to those caught in it.",The paper critiques security-driven urban renewal and recommends addressing root causes of crime (socioeconomic development) rather than relying on aggressive policing and containment. It highlights the counterproductive effects of militarized policing on community trust and development.,False,Full text provided; no truncation. The paper is a journal article with empirical qualitative methodology based on interviews and document analysis.
https://openalex.org/W1777030935,Graham 2006:forward,Living Beirut's Security Zones: An Investigation of the Modalities and Practice of Urban Security,2012,10.1111/j.1548-744X.2012.01074.x,journal_article,empirical_qualitative,"Beirut, Lebanon","Security in Beirut is fragmented, overlapping, and reflects political divisions, reinforcing social hierarchies and constraining daily urban practices.",0,Not addressed. No discussion of information good properties or dual-use technology transfer.,0,"Not addressed. No engagement with algorithmic opacity, epistemic authority, or black-boxing.",0,Not addressed. The paper does not conceptualize the city as a programmable/algorithmic system or discuss modulation.,1,"Tangential mention: references 'urbicide' in literature review and mentions spatial destruction from Israeli war, but not a central theme.",no,neither,no,"These days, I feel that I am back in the village except that those who are harassing me, inquiring about my whereabouts and ordering me around are 100 strangers, dressed in different costumes, playing police... || A certain 'normalization' of security has occurred in the perception of many city dwellers who see security elements as part of the daily hassles they deal with. || Like capital, security has become one more form in which existing social hierarchies are consolidated and/or challenged and new ones imposed.",None,False,Paper is a journal article based on extensive fieldwork. No discussion of algorithmic governance or dual-use; focus is on physical security mechanisms.
